分野,年,国・地域,シェア(%)
D7.コネクテッドカー,2018年,フランス,
D7.コネクテッドカー,2017年,フランス,
D7.コネクテッドカー,2016年,フランス,
D7.コネクテッドカー,2015年,フランス,
D8.スマートエネルギー,2019年,フランス,4.4
D8.スマートエネルギー,2018年,フランス,4
D8.スマートエネルギー,2017年,フランス,4.1
D8.スマートエネルギー,2016年,フランス,2.2
D8.スマートエネルギー,2015年,フランス,2
ICT,2019年,フランス,
ICT,2018年,フランス,
ICT,2017年,フランス,
ICT,2016年,フランス,
ICT,2015年,フランス,2
O.サービス/アプリケーション,2019年,フランス,2.3
O.サービス/アプリケーション,2018年,フランス,2.4
O.サービス/アプリケーション,2017年,フランス,2.4
O.サービス/アプリケーション,2016年,フランス,2.4
O.サービス/アプリケーション,2015年,フランス,2.4
A.クラウド/データセンター,2019年,フランス,
A.クラウド/データセンター,2018年,フランス,
A.クラウド/データセンター,2017年,フランス,
A.クラウド/データセンター,2016年,フランス,
A.クラウド/データセンター,2015年,フランス,
B1.固定系ネットワーク機器,2019年,フランス,5
B1.固定系ネットワーク機器,2018年,フランス,4.6
B1.固定系ネットワーク機器,2017年,フランス,4.4
B1.固定系ネットワーク機器,2016年,フランス,5.3
B1.固定系ネットワーク機器,2015年,フランス,7.9
B2.移動系ネットワーク機器,2019年,フランス,
B2.移動系ネットワーク機器,2018年,フランス,
B2.移動系ネットワーク機器,2017年,フランス,
B2.移動系ネットワーク機器,2016年,フランス,
B2.移動系ネットワーク機器,2015年,フランス,8.6
C.キーデバイス,2019年,フランス,
C.キーデバイス,2018年,フランス,
C.キーデバイス,2017年,フランス,
C.キーデバイス,2016年,フランス,
C.キーデバイス,2015年,フランス,
D1.情報端末,2019年,フランス,
D1.情報端末,2018年,フランス,
D1.情報端末,2017年,フランス,
D1.情報端末,2016年,フランス,
D1.情報端末,2015年,フランス,
D2.家電・OA機器,2019年,フランス,
D2.家電・OA機器,2018年,フランス,
D2.家電・OA機器,2017年,フランス,
D2.家電・OA機器,2016年,フランス,
D2.家電・OA機器,2015年,フランス,
D3.情報デバイス,2019年,フランス,
D3.情報デバイス,2018年,フランス,
D3.情報デバイス,2017年,フランス,
D3.情報デバイス,2016年,フランス,
D3.情報デバイス,2015年,フランス,
IoT,2019年,オランダ,3.3
IoT,2018年,オランダ,3.2
IoT,2017年,オランダ,2.9
IoT,2016年,オランダ,3.5
IoT,2015年,オランダ,3.7
D4.スマートシティ,2019年,オランダ,
D4.スマートシティ,2018年,オランダ,
D4.スマートシティ,2017年,オランダ,
D4.スマートシティ,2016年,オランダ,
D4.スマートシティ,2015年,オランダ,
D5.ヘルスケア,2019年,オランダ,17.5
D5.ヘルスケア,2018年,オランダ,17.4
D5.ヘルスケア,2017年,オランダ,15.3
D5.ヘルスケア,2016年,オランダ,18.3
D5.ヘルスケア,2015年,オランダ,16.8
D6.スマート工場,2019年,オランダ,
D6.スマート工場,2018年,オランダ,
D6.スマート工場,2017年,オランダ,
D6.スマート工場,2016年,オランダ,
D6.スマート工場,2015年,オランダ,
D7.コネクテッドカー,2019年,オランダ,
D7.コネクテッドカー,2018年,オランダ,12.5
D7.コネクテッドカー,2017年,オランダ,13
D7.コネクテッドカー,2016年,オランダ,19
D7.コネクテッドカー,2015年,オランダ,22
D8.スマートエネルギー,2019年,オランダ,5.3
D8.スマートエネルギー,2018年,オランダ,5.4
D8.スマートエネルギー,2017年,オランダ,4.9
D8.スマートエネルギー,2016年,オランダ,4.7
D8.スマートエネルギー,2015年,オランダ,4.7
ICT,2019年,オランダ,
ICT,2018年,オランダ,
ICT,2017年,オランダ,
ICT,2016年,オランダ,
ICT,2015年,オランダ,
O.サービス/アプリケーション,2019年,オランダ,
O.サービス/アプリケーション,2018年,オランダ,
O.サービス/アプリケーション,2017年,オランダ,
O.サービス/アプリケーション,2016年,オランダ,
O.サービス/アプリケーション,2015年,オランダ,
A.クラウド/データセンター,2019年,オランダ,
A.クラウド/データセンター,2018年,オランダ,
A.クラウド/データセンター,2017年,オランダ,
A.クラウド/データセンター,2016年,オランダ,
A.クラウド/データセンター,2015年,オランダ,
B1.固定系ネットワーク機器,2019年,オランダ,
B1.固定系ネットワーク機器,2018年,オランダ,
B1.固定系ネットワーク機器,2017年,オランダ,
B1.固定系ネットワーク機器,2016年,オランダ,
B1.固定系ネットワーク機器,2015年,オランダ,
B2.移動系ネットワーク機器,2019年,オランダ,
B2.移動系ネットワーク機器,2018年,オランダ,
B2.移動系ネットワーク機器,2017年,オランダ,
B2.移動系ネットワーク機器,2016年,オランダ,
B2.移動系ネットワーク機器,2015年,オランダ,
C.キーデバイス,2019年,オランダ,7.7
C.キーデバイス,2018年,オランダ,7.4
