大分類,分野,年,国・地域,シェア(%)
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2019年,台湾,
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2018年,台湾,
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2017年,台湾,
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2019年,台湾,
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2018年,台湾,
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2017年,台湾,
A.クラウド/データセンター,テ?ータセンター,2019年,台湾,
A.クラウド/データセンター,テ?ータセンター,2018年,台湾,
A.クラウド/データセンター,テ?ータセンター,2017年,台湾,
O.サービス/アプリケーション,固定通信サービス,2019年,その他,38.1
O.サービス/アプリケーション,固定通信サービス,2018年,その他,23
O.サービス/アプリケーション,固定通信サービス,2017年,その他,23.4
O.サービス/アプリケーション,移動体通信サービス,2019年,その他,45.3
O.サービス/アプリケーション,移動体通信サービス,2018年,その他,47.3
O.サービス/アプリケーション,移動体通信サービス,2017年,その他,48.3
O.サービス/アプリケーション,動画配信,2019年,その他,8.6
O.サービス/アプリケーション,動画配信,2018年,その他,7.4
O.サービス/アプリケーション,動画配信,2017年,その他,13.5
A.クラウド/データセンター,クラウト?インフラ(IaaS),2019年,その他,11.9
A.クラウド/データセンター,クラウト?インフラ(IaaS),2018年,その他,12.4
A.クラウド/データセンター,クラウト?インフラ(IaaS),2017年,その他,14.2
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2019年,その他,5.7
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2018年,その他,3.7
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2017年,その他,8.7
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2019年,その他,12.8
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2018年,その他,12.6
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2017年,その他,8.3
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2019年,その他,4.8
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2018年,その他,7
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2017年,その他,6.8
A.クラウド/データセンター,テ?ータセンター,2019年,その他,9.4
A.クラウド/データセンター,テ?ータセンター,2018年,その他,13
A.クラウド/データセンター,テ?ータセンター,2017年,その他,8.4
